DATE,city,precipitation
2018-03-30,SEA,0.0
2018-03-31,ATL,0.0
2018-03-31,SEA,0.0
2018-04-01,ATL,0.0
2018-04-01,SEA,0.01
2018-04-02,ATL,0.0
2018-04-02,SEA,0.16
2018-04-03,ATL,0.0
2018-04-03,SEA,0.0
2018-04-04,ATL,0.23
2018-04-04,SEA,0.08
2018-04-05,ATL,0.0
2018-04-05,SEA,0.24
2018-04-06,ATL,0.02
2018-04-06,SEA,0.21
2018-04-07,ATL,0.05
2018-04-07,SEA,0.43
2018-04-08,ATL,0.0
2018-04-08,SEA,0.55
2018-04-09,ATL,0.1
2018-04-09,SEA,0.04
2018-04-10,ATL,0.0
2018-04-10,SEA,0.09
2018-04-11,ATL,0.0
2018-04-11,SEA,0.19
2018-04-12,ATL,0.0
2018-04-12,SEA,0.46
2018-04-13,ATL,0.0
2018-04-13,SEA,0.18
2018-04-14,ATL,0.0
2018-04-14,SEA,0.68
2018-04-15,ATL,1.09
2018-04-15,SEA,1.65
2018-04-16,ATL,0.0
2018-04-16,SEA,0.1
2018-04-17,ATL,0.0
2018-04-17,SEA,0.11
2018-04-18,ATL,0.0
2018-04-18,SEA,0.02
2018-04-19,ATL,0.0
2018-04-19,SEA,0.0
2018-04-20,ATL,0.0
2018-04-20,SEA,0.0
2018-04-21,ATL,0.0
2018-04-21,SEA,0.05
2018-04-22,ATL,0.57
2018-04-22,SEA,0.1
2018-04-23,ATL,4.16
2018-04-23,SEA,0.0
2018-04-24,ATL,0.02
2018-04-24,SEA,0.0
2018-04-25,ATL,0.0
2018-04-25,SEA,0.0
2018-04-26,ATL,0.29
2018-04-26,SEA,0.0
2018-04-27,ATL,0.0
2018-04-27,SEA,0.0
2018-04-28,ATL,0.0
2018-04-28,SEA,0.32
2018-04-29,ATL,0.0
2018-04-29,SEA,0.27
2018-04-30,ATL,0.0
2018-04-30,SEA,0.0
2018-05-01,ATL,0.0
2018-05-01,SEA,0.0
2018-05-02,ATL,0.0
2018-05-02,SEA,0.0
2018-05-03,ATL,0.0
2018-05-03,SEA,0.0
2018-05-04,ATL,0.0
2018-05-04,SEA,0.0
2018-05-05,ATL,0.0
2018-05-05,SEA,0.0
2018-05-06,ATL,0.0
2018-05-06,SEA,0.03
2018-05-07,ATL,0.0
2018-05-07,SEA,0.0
2018-05-08,ATL,0.02
2018-05-08,SEA,0.0
2018-05-09,ATL,0.0
2018-05-09,SEA,0.05
2018-05-10,ATL,0.07
2018-05-10,SEA,0.0
2018-05-11,ATL,0.0
2018-05-11,SEA,0.0
2018-05-12,ATL,0.0
2018-05-12,SEA,0.0
2018-05-13,ATL,0.0
2018-05-13,SEA,0.0
2018-05-14,ATL,0.0
2018-05-14,SEA,0.0
2018-05-15,ATL,0.56
2018-05-15,SEA,0.0
2018-05-16,ATL,0.53
2018-05-16,SEA,0.0
2018-05-17,ATL,0.12
2018-05-17,SEA,0.0
2018-05-18,ATL,0.0
2018-05-18,SEA,0.0
2018-05-19,ATL,0.0
2018-05-19,SEA,0.0
2018-05-20,ATL,1.09
2018-05-20,SEA,0.12
2018-05-21,ATL,0.18
2018-05-21,SEA,0.0
2018-05-22,ATL,0.49
2018-05-22,SEA,0.0
2018-05-23,ATL,0.29
2018-05-23,SEA,0.0
2018-05-24,ATL,0.08
2018-05-24,SEA,0.0
2018-05-25,ATL,0.01
2018-05-25,SEA,0.01
2018-05-26,ATL,0.0
2018-05-26,SEA,0.0
2018-05-27,ATL,0.04
2018-05-27,SEA,0.0
2018-05-28,ATL,0.52
2018-05-28,SEA,0.0
2018-05-29,ATL,0.4
2018-05-29,SEA,0.0
2018-05-30,ATL,0.05
2018-05-30,SEA,0.0
2018-05-31,ATL,0.0
2018-05-31,SEA,0.0
2018-06-01,ATL,0.53
2018-06-01,SEA,0.0
2018-06-02,ATL,0.03
2018-06-02,SEA,0.0
2018-06-03,ATL,0.01
2018-06-03,SEA,0.0
2018-06-04,ATL,0.0
2018-06-04,SEA,0.05
2018-06-05,ATL,0.0
2018-06-05,SEA,0.04
2018-06-06,ATL,0.0
2018-06-06,SEA,0.0
2018-06-07,ATL,0.0
2018-06-07,SEA,0.0
2018-06-08,ATL,0.01
2018-06-08,SEA,0.0
2018-06-09,ATL,0.0
2018-06-09,SEA,0.26
2018-06-10,ATL,0.0
2018-06-10,SEA,0.13
2018-06-11,ATL,0.04
2018-06-11,SEA,0.21
2018-06-12,ATL,0.0
2018-06-12,SEA,0.0
2018-06-13,ATL,1.14
2018-06-13,SEA,0.2
2018-06-14,ATL,0.0
2018-06-14,SEA,0.05
2018-06-15,ATL,0.38
2018-06-15,SEA,0.0
2018-06-16,ATL,0.0
2018-06-16,SEA,0.0
2018-06-17,ATL,0.0
2018-06-17,SEA,0.0
2018-06-18,ATL,0.0
2018-06-18,SEA,0.0
2018-06-19,ATL,0.0
2018-06-19,SEA,0.0
2018-06-20,ATL,0.0
2018-06-20,SEA,0.0
2018-06-21,ATL,0.01
2018-06-21,SEA,0.0
2018-06-22,ATL,0.47
2018-06-22,SEA,0.0
2018-06-23,ATL,0.18
2018-06-23,SEA,0.18
2018-06-24,ATL,0.0
2018-06-24,SEA,0.0
2018-06-25,ATL,0.71
2018-06-25,SEA,0.17
2018-06-26,ATL,0.0
2018-06-26,SEA,0.15
2018-06-27,ATL,0.18
2018-06-27,SEA,0.0
2018-06-28,ATL,0.17
2018-06-28,SEA,0.0
2018-06-29,ATL,0.0
2018-06-29,SEA,0.0
2018-06-30,ATL,0.0
2018-06-30,SEA,0.0
2018-07-01,ATL,0.06
2018-07-01,SEA,0.02
2018-07-02,ATL,0.01
2018-07-02,SEA,0.01
2018-07-03,ATL,0.0
2018-07-03,SEA,0.0
2018-07-04,ATL,0.17
2018-07-04,SEA,0.0
2018-07-05,ATL,0.0
2018-07-05,SEA,0.0
2018-07-06,ATL,0.1
2018-07-06,SEA,0.0
2018-07-07,ATL,0.0
2018-07-07,SEA,0.0
2018-07-08,ATL,0.0
2018-07-08,SEA,0.0
2018-07-09,ATL,0.0
2018-07-09,SEA,0.0
2018-07-10,ATL,0.0
2018-07-10,SEA,0.0
2018-07-11,ATL,0.0
2018-07-11,SEA,0.0
2018-07-12,ATL,0.0
2018-07-12,SEA,0.0
2018-07-13,ATL,1.02
2018-07-13,SEA,0.0
2018-07-14,ATL,3.0
2018-07-14,SEA,0.0
2018-07-15,ATL,0.01
2018-07-15,SEA,0.0
2018-07-16,ATL,0.37
2018-07-16,SEA,0.0
2018-07-17,ATL,0.0
2018-07-17,SEA,0.0
2018-07-18,ATL,0.0
2018-07-18,SEA,0.0
2018-07-19,ATL,0.04
2018-07-19,SEA,0.0
2018-07-20,ATL,0.0
2018-07-20,SEA,0.0
2018-07-21,ATL,1.21
2018-07-21,SEA,0.0
2018-07-22,ATL,0.15
2018-07-22,SEA,0.0
2018-07-23,ATL,0.8
2018-07-23,SEA,0.0
2018-07-24,ATL,0.02
2018-07-24,SEA,0.0
2018-07-25,ATL,0.0
2018-07-25,SEA,0.0
2018-07-26,ATL,0.0
2018-07-26,SEA,0.0
2018-07-27,ATL,0.0
2018-07-27,SEA,0.0
2018-07-28,ATL,0.0
2018-07-28,SEA,0.0
2018-07-29,ATL,0.0
2018-07-29,SEA,0.0
2018-07-30,ATL,0.0
2018-07-30,SEA,0.0
2018-07-31,ATL,1.08
2018-07-31,SEA,0.0
2018-08-01,ATL,1.22
2018-08-01,SEA,0.0
2018-08-02,ATL,3.61
2018-08-02,SEA,0.0
2018-08-03,ATL,0.1
2018-08-03,SEA,0.04
2018-08-04,ATL,0.0
2018-08-04,SEA,0.01
2018-08-05,ATL,0.01
2018-08-05,SEA,0.0
2018-08-06,ATL,0.0
2018-08-06,SEA,0.0
2018-08-07,ATL,0.0
2018-08-07,SEA,0.0
2018-08-08,ATL,0.41
2018-08-08,SEA,0.0
2018-08-09,ATL,0.78
2018-08-09,SEA,0.0
2018-08-10,ATL,0.0
2018-08-10,SEA,0.0
2018-08-11,ATL,0.0
2018-08-11,SEA,0.0
2018-08-12,ATL,0.0
2018-08-12,SEA,0.01
2018-08-13,ATL,0.0
2018-08-13,SEA,0.0
2018-08-14,ATL,0.0
2018-08-14,SEA,0.0
2018-08-15,ATL,0.0
2018-08-15,SEA,0.0
2018-08-16,ATL,0.0
2018-08-16,SEA,0.0
2018-08-17,ATL,0.06
2018-08-17,SEA,0.0
2018-08-18,ATL,1.39
2018-08-18,SEA,0.0
2018-08-19,ATL,0.0
